Value,ID,Channel,Folder 1,Filename
0.117601851,1,133Cs_133Cs,C01,133Cs_133Cs
0.130534412,2,133Cs_133Cs,C01,133Cs_133Cs
0.121556266,3,133Cs_133Cs,C01,133Cs_133Cs
0.127836609,4,133Cs_133Cs,C01,133Cs_133Cs
0.123385978,5,133Cs_133Cs,C01,133Cs_133Cs
0.125331965,6,133Cs_133Cs,C01,133Cs_133Cs
0.126947251,7,133Cs_133Cs,C01,133Cs_133Cs
0.12091108,8,133Cs_133Cs,C01,133Cs_133Cs
0.11541424,9,133Cs_133Cs,C01,133Cs_133Cs
0.126291062,10,133Cs_133Cs,C01,133Cs_133Cs
0.132532699,11,133Cs_133Cs,C01,133Cs_133Cs
0.130608053,12,133Cs_133Cs,C01,133Cs_133Cs
0.122935145,13,133Cs_133Cs,C01,133Cs_133Cs
0.123932983,14,133Cs_133Cs,C01,133Cs_133Cs
0.125729306,15,133Cs_133Cs,C01,133Cs_133Cs
0.125939886,16,133Cs_133Cs,C01,133Cs_133Cs
0.12546096,17,133Cs_133Cs,C01,133Cs_133Cs
0.122831427,18,133Cs_133Cs,C01,133Cs_133Cs
0.127954372,19,133Cs_133Cs,C01,133Cs_133Cs
0.125597196,20,133Cs_133Cs,C01,133Cs_133Cs
0.119220782,21,133Cs_133Cs,C01,133Cs_133Cs
0.123854784,22,133Cs_133Cs,C01,133Cs_133Cs
0.126963885,23,133Cs_133Cs,C01,133Cs_133Cs
0.124750233,24,133Cs_133Cs,C01,133Cs_133Cs
0.13285639,25,133Cs_133Cs,C01,133Cs_133Cs
0.129475416,26,133Cs_133Cs,C01,133Cs_133Cs
0.124064535,27,133Cs_133Cs,C01,133Cs_133Cs
0.126467223,28,133Cs_133Cs,C01,133Cs_133Cs
0.120948015,29,133Cs_133Cs,C01,133Cs_133Cs
0.12105142,30,133Cs_133Cs,C01,133Cs_133Cs
0.12217115,31,133Cs_133Cs,C01,133Cs_133Cs
0.129033836,32,133Cs_133Cs,C01,133Cs_133Cs
0.111705096,33,133Cs_133Cs,C01,133Cs_133Cs
0.120403839,34,133Cs_133Cs,C01,133Cs_133Cs
0.120428237,35,133Cs_133Cs,C01,133Cs_133Cs
0.127962176,36,133Cs_133Cs,C01,133Cs_133Cs
0.126121518,37,133Cs_133Cs,C01,133Cs_133Cs
0.130445943,38,133Cs_133Cs,C01,133Cs_133Cs
0.127699383,39,133Cs_133Cs,C01,133Cs_133Cs
0.128930098,40,133Cs_133Cs,C01,133Cs_133Cs
0.128031208,41,133Cs_133Cs,C01,133Cs_133Cs
0.136424646,42,133Cs_133Cs,C01,133Cs_133Cs
0.129987238,43,133Cs_133Cs,C01,133Cs_133Cs
0.14201286,44,133Cs_133Cs,C01,133Cs_133Cs
0.129788696,45,133Cs_133Cs,C01,133Cs_133Cs
0.144814173,46,133Cs_133Cs,C01,133Cs_133Cs
0.130840948,47,133Cs_133Cs,C01,133Cs_133Cs
0.136681304,48,133Cs_133Cs,C01,133Cs_133Cs
0.134261062,49,133Cs_133Cs,C01,133Cs_133Cs
0.125112816,50,133Cs_133Cs,C01,133Cs_133Cs
0.1239456,51,133Cs_133Cs,C01,133Cs_133Cs
0.127551786,52,133Cs_133Cs,C01,133Cs_133Cs
0.124158469,53,133Cs_133Cs,C01,133Cs_133Cs
0.135986058,54,133Cs_133Cs,C01,133Cs_133Cs
0.134424477,55,133Cs_133Cs,C01,133Cs_133Cs
0.121540469,56,133Cs_133Cs,C01,133Cs_133Cs
0.126536195,57,133Cs_133Cs,C01,133Cs_133Cs
0.121896534,58,133Cs_133Cs,C01,133Cs_133Cs
0.129199679,59,133Cs_133Cs,C01,133Cs_133Cs
0.12940417,60,133Cs_133Cs,C01,133Cs_133Cs
0.130218505,61,133Cs_133Cs,C01,133Cs_133Cs
0.124309915,62,133Cs_133Cs,C01,133Cs_133Cs
0.125753609,63,133Cs_133Cs,C01,133Cs_133Cs
0.129020029,64,133Cs_133Cs,C01,133Cs_133Cs
0.119692766,65,133Cs_133Cs,C01,133Cs_133Cs
0.125368543,66,133Cs_133Cs,C01,133Cs_133Cs
0.13230694,67,133Cs_133Cs,C01,133Cs_133Cs
0.11037144,68,133Cs_133Cs,C01,133Cs_133Cs
0.125812068,69,133Cs_133Cs,C01,133Cs_133Cs
0.128649476,70,133Cs_133Cs,C01,133Cs_133Cs
0.128682042,71,133Cs_133Cs,C01,133Cs_133Cs
0.131638241,72,133Cs_133Cs,C01,133Cs_133Cs
0.125856507,73,133Cs_133Cs,C01,133Cs_133Cs
0.134937373,74,133Cs_133Cs,C01,133Cs_133Cs
0.122715443,75,133Cs_133Cs,C01,133Cs_133Cs
0.125672185,76,133Cs_133Cs,C01,133Cs_133Cs
0.12704759,77,133Cs_133Cs,C01,133Cs_133Cs
0.127665207,78,133Cs_133Cs,C01,133Cs_133Cs
0.133716149,79,133Cs_133Cs,C01,133Cs_133Cs
0.1302494,80,133Cs_133Cs,C01,133Cs_133Cs
0.11847975,81,133Cs_133Cs,C01,133Cs_133Cs
0.131510992,82,133Cs_133Cs,C01,133Cs_133Cs
0.134483118,83,133Cs_133Cs,C01,133Cs_133Cs
0.127745479,84,133Cs_133Cs,C01,133Cs_133Cs
0.1361193,85,133Cs_133Cs,C01,133Cs_133Cs
0.126265762,86,133Cs_133Cs,C01,133Cs_133Cs
0.12388741,87,133Cs_133Cs,C01,133Cs_133Cs
0.131224703,88,133Cs_133Cs,C01,133Cs_133Cs
0.118548785,89,133Cs_133Cs,C01,133Cs_133Cs
0.12977868,90,133Cs_133Cs,C01,133Cs_133Cs
0.136201006,91,133Cs_133Cs,C01,133Cs_133Cs
0.122593141,92,133Cs_133Cs,C01,133Cs_133Cs
0.125827132,93,133Cs_133Cs,C01,133Cs_133Cs
0.131889199,94,133Cs_133Cs,C01,133Cs_133Cs
0.135293921,95,133Cs_133Cs,C01,133Cs_133Cs
0.136349725,96,133Cs_133Cs,C01,133Cs_133Cs
0.134554797,97,133Cs_133Cs,C01,133Cs_133Cs
0.127542677,98,133Cs_133Cs,C01,133Cs_133Cs
0.122225645,99,133Cs_133Cs,C01,133Cs_133Cs
0.131283632,100,133Cs_133Cs,C01,133Cs_133Cs
0.133002347,101,133Cs_133Cs,C01,133Cs_133Cs
0.143142854,102,133Cs_133Cs,C01,133Cs_133Cs
0.12914178,103,133Cs_133Cs,C01,133Cs_133Cs
0.126206094,104,133Cs_133Cs,C01,133Cs_133Cs
0.133584049,105,133Cs_133Cs,C01,133Cs_133Cs
0.133805842,106,133Cs_133Cs,C01,133Cs_133Cs
0.120223378,107,133Cs_133Cs,C01,133Cs_133Cs
0.135435659,108,133Cs_133Cs,C01,133Cs_133Cs
0.122228574,109,133Cs_133Cs,C01,133Cs_133Cs
0.131441346,110,133Cs_133Cs,C01,133Cs_133Cs
0.13010874,111,133Cs_133Cs,C01,133Cs_133Cs
0.128785082,112,133Cs_133Cs,C01,133Cs_133Cs
0.126358368,113,133Cs_133Cs,C01,133Cs_133Cs
0.136797429,114,133Cs_133Cs,C01,133Cs_133Cs
0.13327271,115,133Cs_133Cs,C01,133Cs_133Cs
0.131605856,116,133Cs_133Cs,C01,133Cs_133Cs
0.139259711,117,133Cs_133Cs,C01,133Cs_133Cs
0.135663635,118,133Cs_133Cs,C01,133Cs_133Cs
0.136516676,119,133Cs_133Cs,C01,133Cs_133Cs
0.12379273,120,133Cs_133Cs,C01,133Cs_133Cs
0.138008657,121,133Cs_133Cs,C01,133Cs_133Cs
0.13364239,122,133Cs_133Cs,C01,133Cs_133Cs
0.134796667,123,133Cs_133Cs,C01,133Cs_133Cs
0.135006731,124,133Cs_133Cs,C01,133Cs_133Cs
0.140275686,125,133Cs_133Cs,C01,133Cs_133Cs
0.131633922,126,133Cs_133Cs,C01,133Cs_133Cs
0.138679725,127,133Cs_133Cs,C01,133Cs_133Cs
0.132106421,128,133Cs_133Cs,C01,133Cs_133Cs
0.165791657,129,133Cs_133Cs,C01,133Cs_133Cs
0.137992255,130,133Cs_133Cs,C01,133Cs_133Cs
0.127787128,131,133Cs_133Cs,C01,133Cs_133Cs
0.115044348,132,133Cs_133Cs,C01,133Cs_133Cs
0.128981103,133,133Cs_133Cs,C01,133Cs_133Cs
0.134982058,134,133Cs_133Cs,C01,133Cs_133Cs
0.137823386,135,133Cs_133Cs,C01,133Cs_133Cs
0.135477303,136,133Cs_133Cs,C01,133Cs_133Cs
3.266983312,1,134Xe_134X,C01,134Xe_134X
3.284539072,2,134Xe_134X,C01,134Xe_134X
3.282812685,3,134Xe_134X,C01,134Xe_134X
3.287441931,4,134Xe_134X,C01,134Xe_134X
3.283681489,5,134Xe_134X,C01,134Xe_134X
3.28602979,6,134Xe_134X,C01,134Xe_134X
3.28359583,7,134Xe_134X,C01,134Xe_134X
3.283497357,8,134Xe_134X,C01,134Xe_134X
3.286058948,9,134Xe_134X,C01,134Xe_134X
3.289470275,10,134Xe_134X,C01,134Xe_134X
3.284973762,11,134Xe_134X,C01,134Xe_134X
3.269324895,12,134Xe_134X,C01,134Xe_134X
3.2771325,13,134Xe_134X,C01,134Xe_134X
3.277553308,14,134Xe_134X,C01,134Xe_134X
3.27356571,15,134Xe_134X,C01,134Xe_134X
3.27690331,16,134Xe_134X,C01,134Xe_134X
3.28256893,17,134Xe_134X,C01,134Xe_134X
3.286681787,18,134Xe_134X,C01,134Xe_134X
3.278424221,19,134Xe_134X,C01,134Xe_134X
3.299413472,20,134Xe_134X,C01,134Xe_134X
3.303222195,21,134Xe_134X,C01,134Xe_134X
3.289106441,22,134Xe_134X,C01,134Xe_134X
3.28551203,23,134Xe_134X,C01,134Xe_134X
3.297892769,24,134Xe_134X,C01,134Xe_134X
3.29072251,25,134Xe_134X,C01,134Xe_134X
3.286530423,26,134Xe_134X,C01,134Xe_134X
3.293385707,27,134Xe_134X,C01,134Xe_134X
3.294963118,28,134Xe_134X,C01,134Xe_134X
3.280172317,29,134Xe_134X,C01,134Xe_134X
3.286883181,30,134Xe_134X,C01,134Xe_134X
3.28746478,31,134Xe_134X,C01,134Xe_134X
3.288796788,32,134Xe_134X,C01,134Xe_134X
3.285760131,33,134Xe_134X,C01,134Xe_134X
3.288239478,34,134Xe_134X,C01,134Xe_134X
3.280947763,35,134Xe_134X,C01,134Xe_134X
3.282037662,36,134Xe_134X,C01,134Xe_134X
3.288634986,37,134Xe_134X,C01,134Xe_134X
3.287826149,38,134Xe_134X,C01,134Xe_134X
3.298996734,39,134Xe_134X,C01,134Xe_134X
3.292802891,40,134Xe_134X,C01,134Xe_134X
3.288037777,41,134Xe_134X,C01,134Xe_134X
3.29404867,42,134Xe_134X,C01,134Xe_134X
3.298303762,43,134Xe_134X,C01,134Xe_134X
3.293753827,44,134Xe_134X,C01,134Xe_134X
3.294381077,45,134Xe_134X,C01,134Xe_134X
3.295511999,46,134Xe_134X,C01,134Xe_134X
3.293259963,47,134Xe_134X,C01,134Xe_134X
3.295635337,48,134Xe_134X,C01,134Xe_134X
3.295062128,49,134Xe_134X,C01,134Xe_134X
3.289306276,50,134Xe_134X,C01,134Xe_134X
3.292870108,51,134Xe_134X,C01,134Xe_134X
3.297998728,52,134Xe_134X,C01,134Xe_134X
3.292250577,53,134Xe_134X,C01,134Xe_134X
3.298649768,54,134Xe_134X,C01,134Xe_134X
3.296500189,55,134Xe_134X,C01,134Xe_134X
3.300487377,56,134Xe_134X,C01,134Xe_134X
3.295519379,57,134Xe_134X,C01,134Xe_134X
3.294722134,58,134Xe_134X,C01,134Xe_134X
3.296114008,59,134Xe_134X,C01,134Xe_134X
3.291624383,60,134Xe_134X,C01,134Xe_134X
3.299581176,61,134Xe_134X,C01,134Xe_134X
3.302501021,62,134Xe_134X,C01,134Xe_134X
3.303431749,63,134Xe_134X,C01,134Xe_134X
3.299299006,64,134Xe_134X,C01,134Xe_134X
3.290779745,65,134Xe_134X,C01,134Xe_134X
3.300367276,66,134Xe_134X,C01,134Xe_134X
3.297508886,67,134Xe_134X,C01,134Xe_134X
3.290328435,68,134Xe_134X,C01,134Xe_134X
3.294390559,69,134Xe_134X,C01,134Xe_134X
3.293757663,70,134Xe_134X,C01,134Xe_134X
3.297254042,71,134Xe_134X,C01,134Xe_134X
3.289261917,72,134Xe_134X,C01,134Xe_134X
3.292552354,73,134Xe_134X,C01,134Xe_134X
3.298559884,74,134Xe_134X,C01,134Xe_134X
3.29351348,75,134Xe_134X,C01,134Xe_134X
3.304756039,76,134Xe_134X,C01,134Xe_134X
3.29284799,77,134Xe_134X,C01,134Xe_134X
3.305524596,78,134Xe_134X,C01,134Xe_134X
3.301036602,79,134Xe_134X,C01,134Xe_134X
3.300155872,80,134Xe_134X,C01,134Xe_134X
3.307366787,81,134Xe_134X,C01,134Xe_134X
3.294666374,82,134Xe_134X,C01,134Xe_134X
3.31007789,83,134Xe_134X,C01,134Xe_134X
3.306133213,84,134Xe_134X,C01,134Xe_134X
3.297911108,85,134Xe_134X,C01,134Xe_134X
3.306505144,86,134Xe_134X,C01,134Xe_134X
3.299697484,87,134Xe_134X,C01,134Xe_134X
3.3046416,88,134Xe_134X,C01,134Xe_134X
3.304740248,89,134Xe_134X,C01,134Xe_134X
3.315220413,90,134Xe_134X,C01,134Xe_134X
3.303871809,91,134Xe_134X,C01,134Xe_134X
