value	id	channel	patient_type	replicate	subject_group	patrep_id	cell_id
0.117601851	1	Cs	control	1	control	C01R01	C01R01_0001
0.130534412	2	Cs	control	1	control	C01R01	C01R01_0002
0.121556266	3	Cs	control	1	control	C01R01	C01R01_0003
0.127836609	4	Cs	control	1	control	C01R01	C01R01_0004
0.123385978	5	Cs	control	1	control	C01R01	C01R01_0005
0.125331965	6	Cs	control	1	control	C01R01	C01R01_0006
0.126947251	7	Cs	control	1	control	C01R01	C01R01_0007
0.12091108	8	Cs	control	1	control	C01R01	C01R01_0008
0.11541424	9	Cs	control	1	control	C01R01	C01R01_0009
0.126291062	10	Cs	control	1	control	C01R01	C01R01_0010
0.132532699	11	Cs	control	1	control	C01R01	C01R01_0011
0.130608053	12	Cs	control	1	control	C01R01	C01R01_0012
0.122935145	13	Cs	control	1	control	C01R01	C01R01_0013
0.123932983	14	Cs	control	1	control	C01R01	C01R01_0014
0.125729306	15	Cs	control	1	control	C01R01	C01R01_0015
0.125939886	16	Cs	control	1	control	C01R01	C01R01_0016
0.12546096	17	Cs	control	1	control	C01R01	C01R01_0017
0.122831427	18	Cs	control	1	control	C01R01	C01R01_0018
0.127954372	19	Cs	control	1	control	C01R01	C01R01_0019
0.125597196	20	Cs	control	1	control	C01R01	C01R01_0020
0.119220782	21	Cs	control	1	control	C01R01	C01R01_0021
0.123854784	22	Cs	control	1	control	C01R01	C01R01_0022
0.126963885	23	Cs	control	1	control	C01R01	C01R01_0023
0.124750233	24	Cs	control	1	control	C01R01	C01R01_0024
0.13285639	25	Cs	control	1	control	C01R01	C01R01_0025
0.129475416	26	Cs	control	1	control	C01R01	C01R01_0026
0.124064535	27	Cs	control	1	control	C01R01	C01R01_0027
0.126467223	28	Cs	control	1	control	C01R01	C01R01_0028
0.120948015	29	Cs	control	1	control	C01R01	C01R01_0029
0.12105142	30	Cs	control	1	control	C01R01	C01R01_0030
0.12217115	31	Cs	control	1	control	C01R01	C01R01_0031
0.129033836	32	Cs	control	1	control	C01R01	C01R01_0032
0.111705096	33	Cs	control	1	control	C01R01	C01R01_0033
0.120403839	34	Cs	control	1	control	C01R01	C01R01_0034
0.120428237	35	Cs	control	1	control	C01R01	C01R01_0035
0.127962176	36	Cs	control	1	control	C01R01	C01R01_0036
0.126121518	37	Cs	control	1	control	C01R01	C01R01_0037
0.130445943	38	Cs	control	1	control	C01R01	C01R01_0038
0.127699383	39	Cs	control	1	control	C01R01	C01R01_0039
0.128930098	40	Cs	control	1	control	C01R01	C01R01_0040
0.128031208	41	Cs	control	1	control	C01R01	C01R01_0041
0.136424646	42	Cs	control	1	control	C01R01	C01R01_0042
0.129987238	43	Cs	control	1	control	C01R01	C01R01_0043
0.14201286	44	Cs	control	1	control	C01R01	C01R01_0044
0.129788696	45	Cs	control	1	control	C01R01	C01R01_0045
0.144814173	46	Cs	control	1	control	C01R01	C01R01_0046
